Model,MAE,RMSE,R2,n
OLS,4181.194473753618,5796.284659276269,0.7835929767120726,268
GLM Gamma,4155.231076588893,7306.532203525558,0.656129796822302,268
Tweedie,3928.814982695167,6148.507508228409,0.7564930533378025,268
